"","bio_var","Class1","Class2","Class3"
"1","VB Distance","PhT","vb",NA
"2","VB Density","PhT","vb",NA
"3","1 VB / Total VB","PhT","vb",NA
"4","VB Diameter","PhT","vb",NA
"5","VB Area %","PhT","vb",NA
"6","IBS Cell size","PhT","bs",NA
"7","IBS Area %","PhT","bs",NA
"8","OBS Cell size","PhT","bs",NA
"9","OBS Area %","PhT","bs",NA
"10","M Cell size","PhT","other",NA
"11","Sv*","PhT","other",NA
"12","Sb*","PhT","other",NA
"13","Leaf Size","PhT","other",NA
"14","1 VB Density","PhT","vb",NA
"15","2 VB Density","PhT","vb",NA
"16","specie.C4","species","C4",NA
"17","specie.PK","species","PK",NA
"18","specie.C3","species","C3",NA
"19","OG0000000",NA,NA,NA
"20","OG0000001",NA,NA,NA
"21","OG0000002",NA,NA,NA
"22","OG0000005",NA,NA,NA
"23","OG0000008",NA,NA,NA
"24","OG0000009",NA,NA,NA
"25","OG0000010",NA,NA,NA
"26","OG0000012",NA,NA,NA
"27","OG0000013",NA,NA,NA
"28","OG0000014",NA,NA,NA
"29","OG0000016",NA,NA,NA
"30","OG0000017",NA,NA,NA
"31","OG0000021",NA,NA,NA
"32","OG0000023",NA,NA,NA
"33","OG0000026",NA,NA,NA
"35","OG0000028",NA,NA,NA
"36","OG0000029",NA,NA,NA
"37","OG0000032","cell wall development",NA,"cell wall expansion"
"38","OG0000034",NA,NA,NA
"40","OG0000039",NA,NA,NA
"41","OG0000041",NA,NA,NA
"42","OG0000042",NA,NA,NA
"43","OG0000043",NA,NA,NA
"44","OG0000044",NA,NA,NA
"45","OG0000048",NA,NA,NA
"46","OG0000049",NA,NA,NA
"48","OG0000053","cell wall development",NA,"cell wall expansion"
"49","OG0000054",NA,NA,NA
"51","OG0000057","cell wall development",NA,"cellulose biosynthesis"
"52","OG0000059",NA,NA,NA
"53","OG0000060",NA,NA,NA
"54","OG0000061","plasmodesmata",NA,"plasmodesmata"
"55","OG0000063",NA,NA,NA
"56","OG0000064",NA,NA,NA
"57","OG0000065",NA,NA,NA
"58","OG0000066",NA,NA,NA
"59","OG0000068",NA,NA,NA
"60","OG0000069",NA,NA,NA
"61","OG0000070",NA,NA,NA
"64","OG0000074",NA,NA,NA
"66","OG0000076",NA,NA,NA
"67","OG0000078",NA,NA,NA
"68","OG0000079",NA,NA,NA
"69","OG0000081","photosynthesis",NA,NA
"70","OG0000082",NA,NA,NA
"71","OG0000083",NA,NA,NA
"72","OG0000084",NA,NA,NA
"73","OG0000085","TF","MYB",NA
"74","OG0000087","TF","LBD",NA
"75","OG0000088",NA,NA,NA
"76","OG0000089",NA,NA,NA
"77","OG0000090","TF","MYB",NA
"79","OG0000092",NA,NA,NA
"81","OG0000094",NA,NA,NA
"82","OG0000095",NA,NA,NA
"83","OG0000096",NA,NA,NA
"84","OG0000097",NA,NA,NA
"85","OG0000098",NA,NA,NA
"86","OG0000099",NA,NA,NA
"88","OG0000101",NA,NA,NA
"89","OG0000102",NA,NA,NA
"90","OG0000104",NA,NA,NA
"91","OG0000105",NA,NA,NA
"92","OG0000106",NA,NA,NA
"95","OG0000109","cell wall development",NA,"lignin biosynthesis"
"96","OG0000112",NA,NA,NA
"97","OG0000113","cell wall development",NA,"cellulose biosynthesis"
"99","OG0000117",NA,NA,NA
"100","OG0000118",NA,NA,NA
"102","OG0000120",NA,NA,NA
"104","OG0000122",NA,NA,NA
"105","OG0000123",NA,NA,NA
"107","OG0000126",NA,NA,NA
"108","OG0000128","cell wall development",NA,"lignin biosynthesis"
"109","OG0000129",NA,NA,NA
"110","OG0000130",NA,NA,NA
"111","OG0000131",NA,NA,NA
"112","OG0000132","cell wall development",NA,"lignin biosynthesis"
"113","OG0000134","TF","MYB",NA
"114","OG0000135","cell wall development",NA,"lignin biosynthesis"
"116","OG0000139",NA,NA,NA
"117","OG0000140",NA,NA,NA
"118","OG0000141","TF","GRAS",NA
"119","OG0000142",NA,NA,NA
"120","OG0000143",NA,NA,NA
"121","OG0000144",NA,NA,NA
"122","OG0000147",NA,NA,NA
"123","OG0000148",NA,NA,NA
"124","OG0000149",NA,NA,NA
"125","OG0000150",NA,NA,NA
"126","OG0000151",NA,NA,NA
"127","OG0000152","cell wall development",NA,"lignin biosynthesis"
"128","OG0000153","cell wall development",NA,"cellulose biosynthesis"
"129","OG0000155","TF","FAR1",NA
"130","OG0000156",NA,NA,NA
"132","OG0000158",NA,NA,NA
"133","OG0000159",NA,NA,NA
"134","OG0000160",NA,NA,NA
"135","OG0000161",NA,NA,NA
"136","OG0000163",NA,NA,NA
"137","OG0000164",NA,NA,NA
"138","OG0000165",NA,NA,NA
"139","OG0000166",NA,NA,NA
"140","OG0000168",NA,NA,NA
"141","OG0000169",NA,NA,NA
"144","OG0000172",NA,NA,NA
"145","OG0000173",NA,NA,NA
"146","OG0000174",NA,NA,NA
"150","OG0000180",NA,NA,NA
"151","OG0000181",NA,NA,NA
"154","OG0000184",NA,NA,NA
"155","OG0000185","TF","MYB",NA
"156","OG0000186","cell wall development",NA,"lignin biosynthesis"
"157","OG0000187",NA,NA,NA
"158","OG0000188",NA,NA,NA
"161","OG0000195",NA,NA,NA
"162","OG0000196",NA,NA,NA
"163","OG0000197",NA,NA,NA
"164","OG0000198",NA,NA,NA
"166","OG0000200",NA,NA,NA
"167","OG0000203",NA,NA,NA
"168","OG0000204",NA,NA,NA
"170","OG0000206",NA,NA,NA
"171","OG0000207",NA,NA,NA
"172","OG0000208",NA,NA,NA
"173","OG0000209",NA,NA,NA
"174","OG0000210",NA,NA,"VB development"
"175","OG0000211","cell wall development",NA,"cellulose biosynthesis"
"176","OG0000213","cell wall development",NA,"cellulose biosynthesis"
"179","OG0000216",NA,NA,NA
"180","OG0000217",NA,NA,NA
"181","OG0000218",NA,NA,NA
"182","OG0000219",NA,NA,NA
"183","OG0000220",NA,NA,NA
"184","OG0000221",NA,NA,NA
"185","OG0000222",NA,NA,NA
"186","OG0000223",NA,NA,NA
"187","OG0000226",NA,NA,NA
"188","OG0000227",NA,NA,NA
"189","OG0000228",NA,NA,NA
"190","OG0000229",NA,NA,NA
"191","OG0000230",NA,NA,NA
"192","OG0000231","cell wall development",NA,"lignin biosynthesis"
"193","OG0000236","cell wall development",NA,"cellulose biosynthesis"
"194","OG0000237",NA,NA,NA
"195","OG0000238",NA,NA,NA
"196","OG0000239",NA,NA,NA
"197","OG0000240",NA,NA,NA
"198","OG0000241",NA,NA,NA
"199","OG0000242",NA,NA,NA
"200","OG0000244",NA,NA,NA
"201","OG0000245",NA,NA,NA
"202","OG0000246",NA,NA,NA
"204","OG0000248","cell wall development",NA,"lignin biosynthesis"
"206","OG0000250","TF","bHLH",NA
"207","OG0000253",NA,NA,NA
"208","OG0000254",NA,NA,NA
"210","OG0000256",NA,NA,NA
"212","OG0000258",NA,NA,NA
"213","OG0000259",NA,NA,NA
"214","OG0000260",NA,NA,NA
"215","OG0000263",NA,NA,NA
"219","OG0000268",NA,NA,NA
"220","OG0000269",NA,NA,NA
"222","OG0000273",NA,NA,NA
"223","OG0000275",NA,NA,NA
"224","OG0000276",NA,NA,NA
"225","OG0000277",NA,NA,NA
"226","OG0000278","photosynthesis","C4 cycle",NA
"227","OG0000279","cell wall development",NA,"lignin biosynthesis"
"228","OG0000280","TF","MYB_related",NA
"229","OG0000281",NA,NA,NA
"230","OG0000282",NA,NA,NA
"231","OG0000285",NA,NA,NA
"232","OG0000286",NA,NA,NA
"233","OG0000287",NA,NA,NA
"234","OG0000288",NA,NA,NA
"235","OG0000289",NA,NA,NA
"238","OG0000292",NA,NA,NA
"239","OG0000293",NA,NA,NA
"240","OG0000294",NA,NA,NA
"241","OG0000295","photosynthesis","photorespiration",NA
"242","OG0000296","cell wall development",NA,"suberin biosynthesis"
"243","OG0000297",NA,NA,NA
"244","OG0000301",NA,NA,NA
"245","OG0000302",NA,NA,NA
"246","OG0000303",NA,NA,NA
"248","OG0000305",NA,NA,NA
"249","OG0000306",NA,NA,NA
"250","OG0000307","cell wall development",NA,"cellulose biosynthesis"
"252","OG0000309",NA,NA,NA
"253","OG0000310",NA,NA,NA
"255","OG0000315",NA,NA,NA
"256","OG0000317",NA,NA,NA
"257","OG0000318",NA,NA,NA
"258","OG0000319","cell wall development",NA,"lignin biosynthesis"
"260","OG0000321",NA,NA,NA
"261","OG0000322",NA,NA,NA
"262","OG0000323",NA,NA,NA
"264","OG0000325",NA,NA,NA
"265","OG0000326",NA,NA,NA
"267","OG0000332",NA,NA,NA
"268","OG0000334","TF","bHLH,WRKY",NA
"269","OG0000335",NA,NA,NA
"270","OG0000336",NA,NA,NA
"271","OG0000337",NA,NA,NA
"272","OG0000338",NA,NA,NA
"273","OG0000339",NA,NA,NA
"274","OG0000340",NA,NA,NA
"276","OG0000342",NA,NA,NA
"277","OG0000343",NA,NA,NA
"279","OG0000345",NA,NA,NA
"280","OG0000346",NA,NA,NA
"281","OG0000348",NA,NA,NA
"282","OG0000349",NA,NA,NA
"285","OG0000352",NA,NA,NA
"286","OG0000353",NA,NA,NA
"287","OG0000355",NA,NA,NA
"288","OG0000356",NA,NA,NA
"290","OG0000358",NA,NA,NA
"291","OG0000359",NA,NA,NA
"292","OG0000360",NA,NA,NA
"294","OG0000362",NA,NA,NA
"296","OG0000367",NA,NA,NA
"298","OG0000370",NA,NA,NA
"299","OG0000371",NA,NA,NA
"300","OG0000372",NA,NA,NA
"301","OG0000373",NA,NA,NA
"302","OG0000374",NA,NA,NA
"303","OG0000375","TF","NAC",NA
"304","OG0000377",NA,NA,NA
"305","OG0000378",NA,NA,NA
"306","OG0000379",NA,NA,NA
"307","OG0000380",NA,NA,NA
"308","OG0000381","TF","C2H2",NA
"309","OG0000382",NA,NA,NA
"310","OG0000383",NA,NA,NA
"311","OG0000384",NA,NA,NA
"312","OG0000385",NA,NA,NA
"313","OG0000386","cell wall development",NA,"lignin biosynthesis"
"315","OG0000389","cell wall development",NA,"lignin biosynthesis"
"317","OG0000391",NA,NA,NA
"319","OG0000393",NA,NA,NA
"320","OG0000394",NA,NA,NA
"321","OG0000395",NA,NA,NA
"322","OG0000396",NA,NA,NA
"323","OG0000397",NA,NA,NA
"324","OG0000398",NA,NA,"VB development"
"325","OG0000399",NA,NA,NA
"326","OG0000400",NA,NA,NA
"327","OG0000401",NA,NA,NA
"328","OG0000402",NA,NA,NA
"329","OG0000403",NA,NA,NA
"330","OG0000404",NA,NA,NA
"331","OG0000405",NA,NA,NA
"332","OG0000406",NA,NA,NA
"333","OG0000407",NA,NA,NA
"334","OG0000408",NA,NA,NA
"335","OG0000409",NA,NA,NA
"340","OG0000416",NA,NA,NA
"341","OG0000417",NA,NA,NA
"342","OG0000418",NA,NA,NA
"343","OG0000419",NA,NA,NA
"344","OG0000420",NA,NA,NA
"346","OG0000422",NA,NA,NA
"348","OG0000429",NA,NA,NA
"349","OG0000430",NA,NA,NA
"350","OG0000431",NA,NA,NA
"351","OG0000432",NA,NA,NA
"352","OG0000433",NA,NA,NA
"353","OG0000436",NA,NA,NA
"354","OG0000437",NA,NA,NA
"355","OG0000438","cell wall development",NA,"lignin biosynthesis"
"356","OG0000439",NA,NA,NA
"357","OG0000440","TF","WRKY",NA
"358","OG0000441",NA,NA,NA
"359","OG0000442",NA,NA,NA
"360","OG0000443",NA,NA,NA
"361","OG0000444",NA,NA,NA
"362","OG0000445",NA,NA,NA
"363","OG0000452",NA,NA,NA
"364","OG0000453",NA,NA,NA
"366","OG0000455",NA,NA,NA
"368","OG0000458",NA,NA,NA
"369","OG0000459",NA,NA,NA
"370","OG0000460",NA,NA,NA
"371","OG0000461",NA,NA,NA
"372","OG0000462",NA,NA,NA
"374","OG0000467",NA,NA,NA
"375","OG0000468",NA,NA,NA
"376","OG0000469",NA,NA,NA
"378","OG0000471",NA,NA,NA
"379","OG0000472",NA,NA,NA
"380","OG0000473",NA,NA,NA
"381","OG0000474","cell wall development",NA,"lignin biosynthesis"
"382","OG0000475","cell wall development",NA,"lignin biosynthesis"
"383","OG0000476",NA,NA,NA
"385","OG0000480",NA,NA,NA
"386","OG0000481",NA,NA,NA
"387","OG0000482","cell wall development",NA,"lignin biosynthesis"
"388","OG0000483","TF","MYB",NA
"389","OG0000484",NA,NA,NA
"390","OG0000486",NA,NA,NA
"391","OG0000487",NA,NA,NA
"392","OG0000488","TF","C3H",NA
"393","OG0000489",NA,NA,NA
"394","OG0000490",NA,NA,NA
"395","OG0000491",NA,NA,NA
"396","OG0000492",NA,NA,NA
"397","OG0000493",NA,NA,NA
"398","OG0000494",NA,NA,NA
"399","OG0000495","photosynthesis","C4 cycle",NA
"400","OG0000496",NA,NA,NA
"401","OG0000497",NA,NA,NA
"402","OG0000498",NA,NA,NA
"403","OG0000499",NA,NA,NA
"404","OG0000500",NA,NA,NA
"407","OG0000506",NA,NA,NA
"408","OG0000507",NA,NA,NA
"409","OG0000508","cell wall development",NA,"lignin biosynthesis"
"410","OG0000509",NA,NA,NA
"411","OG0000510",NA,NA,NA
"412","OG0000511",NA,NA,NA
"413","OG0000513",NA,NA,NA
"414","OG0000514","cell wall development",NA,"lignin biosynthesis"
"415","OG0000516","photosynthesis","photorespiration",NA
"416","OG0000517",NA,NA,NA
"418","OG0000519",NA,NA,NA
"419","OG0000520",NA,NA,NA
"420","OG0000521",NA,NA,NA
"421","OG0000522",NA,NA,NA
"422","OG0000523",NA,NA,NA
"424","OG0000526","cell wall development",NA,"lignin biosynthesis"
"425","OG0000530",NA,NA,NA
"426","OG0000531",NA,NA,NA
"427","OG0000532",NA,NA,NA
"430","OG0000536",NA,NA,NA
"431","OG0000537",NA,NA,NA
"432","OG0000538",NA,NA,NA
"433","OG0000539",NA,NA,NA
"434","OG0000540",NA,NA,NA
"435","OG0000541",NA,NA,NA
"438","OG0000544",NA,NA,NA
"439","OG0000545",NA,NA,NA
"440","OG0000546","TF","ERF",NA
"441","OG0000547",NA,NA,NA
"442","OG0000548",NA,NA,NA
"443","OG0000549",NA,NA,NA
"444","OG0000550",NA,NA,NA
"445","OG0000551",NA,NA,NA
"446","OG0000552",NA,NA,NA
"448","OG0000555",NA,NA,NA
"449","OG0000556",NA,NA,NA
"450","OG0000557",NA,NA,NA
"451","OG0000558",NA,NA,NA
"452","OG0000560",NA,NA,NA
"453","OG0000561",NA,NA,NA
"455","OG0000563",NA,NA,NA
"456","OG0000564",NA,NA,NA
"457","OG0000569",NA,NA,NA
"458","OG0000570",NA,NA,NA
"459","OG0000571",NA,NA,NA
"460","OG0000572","cell wall development",NA,"lignin biosynthesis"
"462","OG0000574",NA,NA,NA
"463","OG0000575","cell wall development",NA,"cellulose biosynthesis"
"465","OG0000577",NA,NA,NA
"466","OG0000578",NA,NA,NA
"467","OG0000579",NA,NA,NA
"468","OG0000580","TF","NAC",NA
"469","OG0000581",NA,NA,NA
"470","OG0000582",NA,NA,NA
"471","OG0000583",NA,NA,NA
"472","OG0000584",NA,NA,NA
"474","OG0000586","cell wall development",NA,"lignin biosynthesis"
"475","OG0000587",NA,NA,NA
"476","OG0000588",NA,NA,NA
"477","OG0000589",NA,NA,NA
"478","OG0000590",NA,NA,NA
"479","OG0000591",NA,NA,NA
"480","OG0000592",NA,NA,NA
"481","OG0000594",NA,NA,NA
"482","OG0000595",NA,NA,NA
"483","OG0000596","TF","C2H2",NA
"484","OG0000597",NA,NA,NA
"485","OG0000598",NA,NA,NA
"486","OG0000599",NA,NA,NA
"487","OG0000600",NA,NA,NA
"488","OG0000601",NA,NA,NA
"490","OG0000609","TF","ERF",NA
"491","OG0000610","cell wall development",NA,"suberin biosynthesis"
"492","OG0000611",NA,NA,NA
"493","OG0000612",NA,NA,NA
"494","OG0000614",NA,NA,NA
"496","OG0000616",NA,NA,NA
"498","OG0000619",NA,NA,NA
"499","OG0000620",NA,NA,NA
"501","OG0000622","photosynthesis","CBB cycle",NA
"502","OG0000623",NA,NA,NA
"503","OG0000624",NA,NA,NA
"505","OG0000626",NA,NA,NA
"506","OG0000627",NA,NA,NA
"507","OG0000628","cell wall development",NA,"lignin biosynthesis"
"508","OG0000629",NA,NA,NA
"509","OG0000630",NA,NA,NA
"510","OG0000631",NA,NA,NA
"511","OG0000632",NA,NA,NA
"512","OG0000633","cell wall development",NA,"lignin biosynthesis"
"513","OG0000634",NA,NA,NA
"514","OG0000635",NA,NA,NA
"515","OG0000636",NA,NA,NA
"517","OG0000638",NA,NA,NA
"518","OG0000639","cell wall development",NA,"lignin biosynthesis"
"519","OG0000640",NA,NA,NA
"521","OG0000643",NA,NA,NA
"522","OG0000644",NA,NA,NA
"524","OG0000646",NA,NA,NA
"527","OG0000649",NA,NA,NA
"528","OG0000650",NA,NA,NA
"529","OG0000651",NA,NA,NA
"530","OG0000652","TF","HD-ZIP",NA
"531","OG0000653",NA,NA,NA
"532","OG0000659","cell wall development",NA,"cell wall expansion"
"533","OG0000660",NA,NA,NA
"534","OG0000661",NA,NA,NA
"535","OG0000662",NA,NA,NA
"537","OG0000665",NA,NA,NA
"542","OG0000671",NA,NA,NA
"543","OG0000673",NA,NA,NA
"544","OG0000674",NA,NA,NA
"545","OG0000675","TF","M-type_MADS",NA
"547","OG0000677",NA,NA,NA
"548","OG0000678",NA,NA,NA
"549","OG0000679",NA,NA,NA
"550","OG0000680",NA,NA,NA
"551","OG0000681",NA,NA,NA
"552","OG0000682",NA,NA,NA
"553","OG0000684",NA,NA,NA
"555","OG0000686",NA,NA,NA
"556","OG0000687",NA,NA,NA
"557","OG0000688",NA,NA,NA
"558","OG0000689",NA,NA,NA
"559","OG0000690",NA,NA,NA
"560","OG0000691",NA,NA,NA
"561","OG0000692",NA,NA,NA
"562","OG0000693",NA,NA,NA
"563","OG0000694",NA,NA,NA
"564","OG0000695",NA,NA,NA
"565","OG0000696",NA,NA,NA
"566","OG0000697",NA,NA,NA
"567","OG0000698",NA,NA,NA
"568","OG0000699",NA,NA,NA
"569","OG0000700",NA,NA,NA
"571","OG0000702",NA,NA,NA
"573","OG0000704",NA,NA,NA
"574","OG0000705",NA,NA,NA
"575","OG0000706",NA,NA,NA
"576","OG0000707",NA,NA,NA
"577","OG0000708",NA,NA,NA
"578","OG0000709","TF","NF-YB",NA
"579","OG0000710",NA,NA,NA
"580","OG0000711",NA,NA,NA
"582","OG0000715",NA,NA,NA
"583","OG0000716",NA,NA,NA
"585","OG0000720",NA,NA,NA
"586","OG0000721",NA,NA,NA
"587","OG0000722","cell wall development",NA,"cell wall expansion"
"588","OG0000723",NA,NA,NA
"589","OG0000724",NA,NA,NA
"590","OG0000725",NA,NA,NA
"591","OG0000726",NA,NA,NA
"592","OG0000727",NA,NA,NA
"593","OG0000728",NA,NA,NA
"594","OG0000729","cell wall development",NA,"cell wall expansion"
"596","OG0000731",NA,NA,NA
"597","OG0000732",NA,NA,NA
"598","OG0000733","TF","ZF-HD",NA
"600","OG0000735",NA,NA,NA
"601","OG0000736",NA,NA,NA
"603","OG0000738","TF","HB-other",NA
"606","OG0000741","photosynthesis","CBB cycle",NA
"607","OG0000742",NA,NA,NA
"609","OG0000744",NA,NA,NA
"610","OG0000745",NA,NA,NA
