,C3_S1,C3_S3,C3_S5,C3_S7
VB Distance,153.6289,217.8502,202.994,201.727
VB Density,16.24429677,13.74127943,17.06579913,27.92705879
1 VB / Total VB,0.254497166,0.233342135,0.21335004,0.20526294
VB Diameter,46.94168767,41.86461546,38.73264891,30.33772343
VB Area %,0.037059012,0.024727772,0.02370764,0.022008766
IBS Cell size,63.84,66.806,67.06573753,58.742
IBS Area %,0.018613734,0.016630697,0.017935256,0.017845038
OBS Cell size,1166.387727,1563.147758,1437.666506,732.56787
OBS Area %,0.143582594,0.157479903,0.166178855,0.146453505
M Cell size,218.136,224.58,242.668,190.848
Sv*,2.158029331,1.647164903,1.855831635,2.443568579
Sb*,7.460987748,7.140430489,8.236940037,9.987390737
Leaf Size,4228877.121,4878107.144,3930011.271,1737740.265
1 VB Density,4.149118502,3.189588321,3.621903251,5.772521057
2 VB Density,12.09517827,10.55169111,13.44389588,22.15453773
specie.C4,0,0,0,0
specie.PK,0,0,0,0
specie.C3,1,1,1,1
OG0000000,34.10044984,38.18717166,36.37501654,71.2522977
OG0000001,36.53602807,42.62925319,31.79745455,88.29345684
OG0000002,10.41687538,12.440006,12.54143806,19.71294366
OG0000005,7.634899294,9.128847279,9.12019007,12.98499878
OG0000008,17.16204326,26.41725291,15.32751423,9.823344135
OG0000009,1.623349504,1.879264131,1.100542466,2.478642034
OG0000010,0.324417652,1.011798672,1.315760072,2.4105292
OG0000012,6.089297219,3.894753783,2.584797822,2.510962224
OG0000013,72.47227141,76.41492114,66.61890204,78.46801323
OG0000014,11.11715056,13.96363008,11.62651034,12.68337703
OG0000016,10.4441414,8.045967732,7.375173823,5.766835847
OG0000017,19.88119323,22.53707169,20.94406469,23.2259588
OG0000021,0.487407103,0.594612072,0.335309635,0.454349307
OG0000023,3.675092748,3.47806313,3.028696074,6.129781284
OG0000026,13.80458015,31.73099094,54.74171038,36.66675307
OG0000028,18.88131521,20.99420937,10.15154367,11.46585431
OG0000029,9.430987037,1.869563335,1.672574705,1.291122151
OG0000032,406.4989465,270.707306,112.0460695,90.15077257
OG0000034,42.47849158,48.43669522,53.99389657,64.92744293
OG0000039,2.398589745,2.087710975,2.205131245,5.501906829
OG0000041,9.233972181,14.61919813,15.4432649,23.08966414
OG0000042,2.249760653,3.176906613,2.701754876,5.840342784
OG0000043,1.351957371,2.695828537,4.856264248,4.701583136
OG0000044,10652.55684,3692.323595,851.0345102,98.05724415
OG0000048,0.222997448,0.081505443,0.482927776,0.599999656
OG0000049,6.792488036,12.30223894,25.09520875,30.64039021
OG0000053,951.9368639,1394.894897,602.2891532,387.6156412
OG0000054,14.74847572,18.12700167,10.20353089,8.658944559
OG0000057,1.951966834,2.926524804,6.159732791,5.508470822
OG0000059,187.8803935,371.872241,561.9754641,617.4589335
OG0000060,4.901275253,4.628438769,3.645122938,3.864170323
OG0000061,4.203485166,10.53678583,16.440513,24.44948832
OG0000063,10.23961276,8.620413398,5.80965739,7.64485963
OG0000064,2.696200966,5.508247911,15.31736256,24.6393447
OG0000065,0.110538635,0.162542841,0.068989054,0
OG0000066,8.995679082,10.19663805,10.43602038,9.610704858
OG0000068,18.4343031,6.775912414,3.138075786,6.03541246
OG0000069,1611.841517,1095.5648,1319.578265,1192.496308
OG0000070,79.1515637,25.80863655,10.09073502,2.113786698
OG0000074,0.695135683,0.795005533,0.524744082,0.720452887
OG0000076,25.31747459,20.71031508,25.6744324,30.39878087
OG0000078,14.79481097,14.37510411,12.33943844,12.29259357
OG0000079,73.15661202,178.8422378,381.2083814,268.4274428
OG0000081,16565.23217,67122.06149,79261.16165,32769.3243
OG0000082,7.887266626,8.451734779,9.813451678,14.76791506
OG0000083,2543.379664,2726.208412,3676.950474,3562.994165
OG0000084,644.7393037,422.7621304,853.1957191,1554.096345
OG0000085,7.624460186,12.29849204,24.56653159,18.4944948
OG0000087,6.696320083,7.912000126,9.702188509,9.016561308
OG0000088,3.63964524,5.036701483,3.242131085,6.609568472
OG0000089,154.7924518,154.462206,200.0147284,288.5116901
OG0000090,215.7145858,284.8274471,210.8238345,119.5939159
OG0000092,2.955522868,3.52030284,3.211477547,4.132117105
OG0000094,766.7158715,287.0579664,307.6019127,391.3881164
OG0000095,3.39337083,10.2315928,12.52935427,22.86243864
OG0000096,2058.078834,901.5716063,1921.72018,2497.531568
OG0000097,1395.021793,636.0547027,258.0153197,258.9833295
OG0000098,13.22421566,10.27373979,6.52740885,3.822477941
OG0000099,2.317659196,4.515463797,4.486427686,3.942748175
OG0000101,5.479304401,6.321301315,3.567626531,4.119542889
OG0000102,9.872698517,8.857668121,10.45942925,13.17636949
OG0000104,6.909793604,8.901024489,6.147938809,5.907180339
OG0000105,0.132026067,0.798285359,0.41029823,0.350487944
OG0000106,11.59932417,9.798718236,7.524021266,7.170321081
OG0000109,661.6387622,652.0633075,762.1277042,104.4836349
OG0000112,5.092181111,4.688919545,3.080631,3.867280546
OG0000113,4.567009001,10.12586875,19.53204551,34.92939349
OG0000117,27.22803932,29.45674753,26.22034243,23.24025831
OG0000118,10.51243956,22.14714365,17.82372117,12.18394325
OG0000120,10.12896119,0.598520307,0.200790435,0.040225415
OG0000122,7.863689933,8.709552042,10.34569406,17.14863911
OG0000123,53.24206574,82.83722954,79.72670452,78.60863912
OG0000126,1.903002939,1.429237606,1.705801314,1.52980977
OG0000128,30.30298823,41.8629648,60.62265249,34.14987662
OG0000129,68.98735589,79.12698961,84.47826267,94.44981139
OG0000130,6.402869766,10.33964449,17.09315134,30.9899625
OG0000131,504.2600524,624.3961014,639.5626372,171.7058221
OG0000132,12.36178574,15.94642282,20.51454966,40.37547014
OG0000134,37.97064171,58.29344425,23.26310782,13.05066611
OG0000135,32.86502155,92.44976042,84.74832915,59.29452928
