,PK_S1,PK_S3,PK_S5,PK_S7
VB Distance,106.386,131.876,164.175,247.866
VB Density,58.2963191,41.24440327,36.53311057,37.89209129
1 VB / Total VB,0.485516934,0.269450858,0.240352011,0.260003781
VB Diameter,31.87324198,25.25162621,24.53899877,22.6388471
VB Area %,0.041655254,0.019999884,0.015001466,0.013122104
IBS Cell size,29.386,29.706,31.02890125,27.204
IBS Area %,0.030061508,0.018508163,0.01547355,0.013888248
OBS Cell size,216.9842208,418.1635961,414.0495353,327.9546405
OBS Area %,0.127012814,0.139329524,0.117326171,0.098607793
M Cell size,185.58,145.744,168.5,190.2
Sv*,4.925882276,2.869461009,2.417520017,2.351076614
Sb*,14.07310194,11.89938264,9.724827373,9.338522386
Leaf Size,335533.97,909619.788,1099793.058,745420.855
1 VB Density,28.26052938,11.21813679,8.828292101,9.891177451
2 VB Density,30.03578972,30.02626648,27.70481847,28.00091384
specie.C4,0,0,0,0
specie.PK,1,1,1,1
specie.C3,0,0,0,0
OG0000000,53.56749108,55.13305998,55.24483385,70.35436119
OG0000001,44.67181121,68.63128262,78.3703602,75.83565618
OG0000002,5.341705349,8.550025942,14.31629635,12.34064182
OG0000005,19.03490717,19.13219264,19.1449132,21.08079052
OG0000008,26.34710862,31.69258096,23.01825693,32.60714671
OG0000009,0.419570915,0.196280545,0.437871645,0.207096235
OG0000010,2.288557497,0.638823563,1.640858467,1.429463241
OG0000012,16.92424773,15.12472513,11.24989493,9.815306756
OG0000013,70.90885114,51.81741327,48.93769126,63.06936068
OG0000014,3.736475051,3.082078912,3.071985095,4.172399206
OG0000016,5.764066318,14.07056483,19.59581963,47.22665768
OG0000017,32.31340957,18.5227259,14.44522996,17.58659711
OG0000021,0.651631198,1.12079975,1.525622679,1.483369956
OG0000023,4.899061379,10.33101754,19.31686486,47.24032775
OG0000026,4.537063791,23.9306404,22.20613952,30.37417996
OG0000028,2.811742541,5.062226639,3.396962974,2.27224698
OG0000029,2.486719761,1.721946133,0.696514182,0.399738145
OG0000032,309.8052626,1043.327893,1336.165459,1633.611356
OG0000034,49.55578661,48.68998976,41.4015163,45.43734667
OG0000039,5.196674134,3.696726252,3.068360789,6.855413076
OG0000041,4.859594614,3.643464893,1.203836181,3.070243552
OG0000042,4.431288489,16.49817492,16.88150448,8.491170187
OG0000043,0.833153947,0.793789336,0.791866353,1.148352546
OG0000044,2718.090784,2955.595495,369.2581846,122.2811652
OG0000048,0.973359367,0.905959368,0.208035213,0.424980075
OG0000049,44.46336303,26.6836955,32.16815501,51.15419136
OG0000053,679.9680025,3548.430873,4476.428827,5850.800949
OG0000054,9.093608435,13.83339142,10.64798379,16.65096767
OG0000057,0.985203035,1.793432598,1.595750794,2.044568411
OG0000059,61.45633967,77.66612548,182.5632866,251.5974111
OG0000060,9.032301409,7.554321538,5.154082422,3.667292599
OG0000061,0.129212854,3.324860162,20.68041675,17.1358726
OG0000063,18.00464079,12.47880167,15.48109583,13.23817743
OG0000064,0.53904097,0.94388922,3.474581511,13.99982078
OG0000065,32.44822187,27.57836483,16.68072071,23.60377388
OG0000066,146.2791347,167.2938507,145.3094169,161.1785292
OG0000068,133.4345732,372.0416327,44.44836689,29.75382914
OG0000069,4148.434432,2067.775971,2922.765255,3771.538966
OG0000070,72.14936997,11.26149725,3.287900811,0.883257244
OG0000074,112.7244235,81.75041022,103.1970618,100.4830427
OG0000076,222.9116518,156.1034293,177.6324677,183.5148513
OG0000078,39.83513319,19.51236388,21.79198035,23.96828642
OG0000079,268.0899617,959.4129351,638.5838249,463.242958
OG0000081,11580.62815,55744.41595,84597.6474,77544.01233
OG0000082,45.42276149,35.50356351,38.84791511,40.46622228
OG0000083,931.9572907,1024.470869,1058.358947,1257.444924
OG0000084,1489.855304,731.5237615,1497.461539,2082.218848
OG0000085,0.706269214,5.741336489,4.7042628,7.314750113
OG0000087,3.966218686,36.4566967,27.68677691,13.04184035
OG0000088,38.97925256,20.49857679,10.65713105,8.026858562
OG0000089,111.996841,150.9191963,289.9388544,367.7299982
